target,generator,n,mean_score,std_score,p95_score,p5_score
abl1,DiffSBDD,3031,18.024334177846804,8.190068866333252,34.352595258324214,8.481894867503637
abl1,PocketXMol,3411,24.58793568112596,6.96017664100826,36.49961992636311,14.994637530877302
abl1,PocketXMolAR,3645,24.16134415582383,7.383304276817337,37.303866844489384,14.505445902935955
bcl2,DiffSBDD,3203,11.910865355758496,6.29626662724025,24.19676223165642,4.074661083299939
bcl2,PocketXMol,3260,14.074668647256521,4.3181206926922755,21.664569050990497,7.86688402166128
bcl2,PocketXMolAR,3602,14.962779281808425,4.308269528413607,22.778663329304653,8.671968331829252
brd4_bd1,DiffSBDD,1416,14.667907564091596,8.231958888882087,28.929864981137268,4.15177757372842
brd4_bd1,PocketXMol,1512,16.50719201889417,11.132425500238565,33.391189991468735,3.694969237203899
brd4_bd1,PocketXMolAR,1593,16.479055084966063,10.364578391082985,31.438117641919895,3.7343238270003765
btk,DiffSBDD,3071,12.146838982846381,5.958281570897363,23.911609904352936,5.230256435670583
btk,PocketXMol,2880,17.17292840349788,4.864459029395544,25.8451499877129,10.017746903852153
btk,PocketXMolAR,2802,17.43844844177133,5.3470529944992,27.41488137855637,10.101853827682666
cdk2,DiffSBDD,2847,20.922538132047837,8.803228362670552,36.83728478266014,8.977526136195936
cdk2,PocketXMol,3425,30.905764051423592,7.7565677847149725,45.03025480267463,19.8833618848873
cdk2,PocketXMolAR,3620,30.688389340213742,8.6379812146629,46.975074997169116,18.926933703485446
crbn,DiffSBDD,3262,13.945421308153827,7.409475096782052,27.661710109141026,4.907364470899748
crbn,PocketXMol,3468,22.12706337705722,5.195807451758238,30.254798355698085,13.00735836417722
crbn,PocketXMolAR,3646,22.206993863815775,4.883736991556548,30.065463264688773,13.776387462635805
ggct,DiffSBDD,3402,16.54941877858973,7.864128017387766,30.146794732860126,5.64832675348076
ggct,PocketXMol,3514,20.829844324836042,5.438784086967973,29.74414903836112,12.731278222751024
ggct,PocketXMolAR,3667,20.61414663589757,5.381935318491924,29.234270240628668,12.500215201749935
kras,DiffSBDD,1414,14.216890470991595,7.7472227229024755,26.42831212440137,3.930204474685637
kras,PocketXMol,1533,17.321571162634807,10.432376241349811,33.134071013671,4.722189893796358
kras,PocketXMolAR,1616,17.44561382200726,9.647649199741602,31.691655820876157,4.873358226990802
mdm2,DiffSBDD,796,10.839816219675535,5.2732930501488875,20.56322754509892,4.178768007048237
mdm2,PocketXMol,821,13.900824444493873,3.555548823199824,20.094988700915856,8.260477025621308
mdm2,PocketXMolAR,875,15.497755918455402,3.7023153177885644,21.564983831379166,9.619191175631366
stk33,DiffSBDD,2335,17.41778538329755,8.849921173154994,35.21485917485257,6.777860657914704
stk33,PocketXMol,2676,19.491907277426357,6.021863863524545,31.0266676103885,11.737958318766298
stk33,PocketXMolAR,2790,18.98239659700424,6.009408977300562,30.149863691690754,11.183996064661212
vhl,DiffSBDD,3123,15.820161581312602,7.589897599604933,30.719879621434597,7.644702026642167
vhl,PocketXMol,3371,20.400779288903173,8.75986917821935,38.51977289112477,11.09906454157293
vhl,PocketXMolAR,3581,20.13091841243435,7.849552007875411,37.88844409555003,11.592075020653136
